#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:2551132-2551572|+ -            147 67885at186826        -             98   5.8e-33  110.6  10.6   1   1   9.2e-34   3.2e-31  105.0  10.6     1    95     1   108     1   110 0.86 tig00000001_2482 # 2551132 # 2551572 # 1 # ID=1_2482;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.399
tig00000001:2375136-2376857|+ -            574 67885at186826        -             98       9.3    4.1  15.0   2   5      0.91   3.1e+02   -0.8   0.0    29    48   112   131   102   159 0.68 tig00000001_2306 # 2375136 # 2376857 # 1 # ID=1_2306;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000001:2375136-2376857|+ -            574 67885at186826        -             98       9.3    4.1  15.0   3   5      0.38   1.3e+02    0.4   0.0    47    74   199   226   171   248 0.77 tig00000001_2306 # 2375136 # 2376857 # 1 # ID=1_2306;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000001:2375136-2376857|+ -            574 67885at186826        -             98       9.3    4.1  15.0   4   5       2.2   7.6e+02   -2.0   0.0    35    70   372   407   361   412 0.71 tig00000001_2306 # 2375136 # 2376857 # 1 # ID=1_2306;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000001:2375136-2376857|+ -            574 67885at186826        -             98       9.3    4.1  15.0   5   5      0.46   1.6e+02    0.1   0.1    21    46   468   493   455   518 0.60 tig00000001_2306 # 2375136 # 2376857 # 1 # ID=1_2306;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_downloads/lineages/lactobacillales_odb10/hmms/67885at186826.hmm
# Target file:     /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/run_lactobacillales_odb10/hmmer_output/67885at186826.out --cpu 1 /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_downloads/lineages/lactobacillales_odb10/hmms/67885at186826.hmm /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/vico3159/genome_analyses/analyses/02_assembly/evaluation
# Date:            Tue Apr 28 08:09:59 2026
# [ok]
