# BUSCO version is: 6.0.0 
# The lineage dataset is: lactobacillales_odb10 (Creation date: 2024-01-08, number of genomes: 304, number of BUSCOs: 402)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
6253at186826	Duplicated	tig00000002	76096	74483	-	748.8	411	https://v10-1.orthodb.org/?query=6253at186826	GMP synthase
6451at186826	Complete	tig00000001	193772	195202	+	756.4	429	https://v10-1.orthodb.org/?query=6451at186826	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
6458at186826	Complete	tig00000001	2375136	2376857	+	384.4	437	https://v10-1.orthodb.org/?query=6458at186826	Septation ring formation regulator EzrA
6459at186826	Complete	tig00000001	2086984	2088729	+	602.3	432	https://v10-1.orthodb.org/?query=6459at186826	DNA polymerase III subunit gamma/tau
6564at186826	Complete	tig00000001	460531	462912	+	527.5	472	https://v10-1.orthodb.org/?query=6564at186826	Glycosyl transferase, family 51
6727at186826	Complete	tig00000001	189856	191892	+	850.1	561	https://v10-1.orthodb.org/?query=6727at186826	DNA ligase
6835at186826	Complete	tig00000001	953288	951663	-	838.8	469	https://v10-1.orthodb.org/?query=6835at186826	GroEL-like apical domain superfamily
7263at186826	Complete	tig00000001	1242048	1240636	-	640.2	380	https://v10-1.orthodb.org/?query=7263at186826	Cysteine--tRNA ligase
7391at186826	Complete	tig00000001	1034927	1033158	-	705.3	477	https://v10-1.orthodb.org/?query=7391at186826	Aspartate--tRNA ligase
7397at186826	Complete	tig00000001	1209089	1206681	-	895.1	538	https://v10-1.orthodb.org/?query=7397at186826	Primosomal protein N'
7402at186826	Complete	tig00000001	1420421	1421755	+	491.6	288	https://v10-1.orthodb.org/?query=7402at186826	Chromosomal replication initiator protein DnaA
7599at186826	Complete	tig00000001	17756	19102	+	657.5	379	https://v10-1.orthodb.org/?query=7599at186826	Glucose-6-phosphate isomerase
7711at186826	Complete	tig00000001	793238	791454	-	766.5	507	https://v10-1.orthodb.org/?query=7711at186826	Pyruvate kinase
8165at186826	Complete	tig00000001	1036234	1034942	-	519.6	331	https://v10-1.orthodb.org/?query=8165at186826	Histidine--tRNA ligase
8249at186826	Complete	tig00000001	1433306	1434673	+	497.7	337	https://v10-1.orthodb.org/?query=8249at186826	DNA helicase, DnaB-like, N-terminal
8326at186826	Complete	tig00000001	100573	102264	+	734.3	459	https://v10-1.orthodb.org/?query=8326at186826	Arginine--tRNA ligase
8481at186826	Complete	tig00000001	1435453	1436745	+	630.1	377	https://v10-1.orthodb.org/?query=8481at186826	adenylosuccinate synthase
8744at186826	Complete	tig00000001	1228485	1226929	-	716.1	433	https://v10-1.orthodb.org/?query=8744at186826	Ribonuclease Y
8818at186826	Complete	tig00000001	1104363	1102192	-	722.0	490	https://v10-1.orthodb.org/?query=8818at186826	penicillin-binding protein
9214at186826	Complete	tig00000001	2486908	2485541	-	502.7	325	https://v10-1.orthodb.org/?query=9214at186826	HD domain
9284at186826	Fragmented	tig00000001	1416849	1416013	-	442.9	246	https://v10-1.orthodb.org/?query=9284at186826	tRNA modification GTPase MnmE
9492at186826	Complete	tig00000001	1525880	1529461	+	900.9	685	https://v10-1.orthodb.org/?query=9492at186826	SMCs flexible hinge
9910at186826	Complete	tig00000001	169766	171121	+	654.2	393	https://v10-1.orthodb.org/?query=9910at186826	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
9973at186826	Complete	tig00000001	2072962	2074233	+	559.2	362	https://v10-1.orthodb.org/?query=9973at186826	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
10211at186826	Complete	tig00000001	1175551	1174055	-	774.5	430	https://v10-1.orthodb.org/?query=10211at186826	Lysine--tRNA ligase
10910at186826	Complete	tig00000001	2495649	2496839	+	532.0	327	https://v10-1.orthodb.org/?query=10910at186826	Phosphoglycerate kinase
10928at186826	Complete	tig00000001	1405019	1406290	+	572.6	351	https://v10-1.orthodb.org/?query=10928at186826	Serine--tRNA ligase
10962at186826	Complete	tig00000001	1164222	1163029	-	571.9	326	https://v10-1.orthodb.org/?query=10962at186826	S-adenosylmethionine synthetase
11111at186826	Complete	tig00000001	1513829	1515865	+	791.4	537	https://v10-1.orthodb.org/?query=11111at186826	Helicase, C-terminal
11199at186826	Complete	tig00000001	178175	179425	+	547.2	332	https://v10-1.orthodb.org/?query=11199at186826	Zinc finger, ClpX C4-type
11264at186826	Complete	tig00000001	192303	193775	+	628.1	378	https://v10-1.orthodb.org/?query=11264at186826	Glutamyl-tRNA(Gln) amidotransferase subunit A
11324at186826	Complete	tig00000001	2261866	2260514	-	512.3	362	https://v10-1.orthodb.org/?query=11324at186826	Mur ligase, central
11634at186826	Complete	tig00000001	1244363	1242903	-	608.2	356	https://v10-1.orthodb.org/?query=11634at186826	Glutamate--tRNA ligase
11738at186826	Complete	tig00000001	2635387	2636685	+	529.8	342	https://v10-1.orthodb.org/?query=11738at186826	Asparagine--tRNA ligase
12738at186826	Complete	tig00000001	2337415	2339094	+	635.2	437	https://v10-1.orthodb.org/?query=12738at186826	Ribonuclease J
12846at186826	Complete	tig00000001	2590126	2592201	+	751.6	526	https://v10-1.orthodb.org/?query=12846at186826	Glycine--tRNA ligase beta subunit
12869at186826	Complete	tig00000001	1218154	1216781	-	567.3	387	https://v10-1.orthodb.org/?query=12869at186826	Hexapeptide repeat
13198at186826	Complete	tig00000001	678807	677497	-	645.9	376	https://v10-1.orthodb.org/?query=13198at186826	GTPase Der
13339at186826	Complete	tig00000001	1125427	1126932	+	448.5	360	https://v10-1.orthodb.org/?query=13339at186826	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
13497at186826	Complete	tig00000001	1603431	1604507	+	289.4	243	https://v10-1.orthodb.org/?query=13497at186826	D-alanine--D-alanine ligase
13828at186826	Complete	tig00000001	458184	457018	-	498.4	313	https://v10-1.orthodb.org/?query=13828at186826	THUMP domain
13910at186826	Complete	tig00000001	196378	197751	+	451.8	351	https://v10-1.orthodb.org/?query=13910at186826	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
14442at186826	Complete	tig00000001	2682767	2684185	+	606.8	378	https://v10-1.orthodb.org/?query=14442at186826	Signal recognition particle protein
14559at186826	Complete	tig00000001	680218	678989	-	582.2	362	https://v10-1.orthodb.org/?query=14559at186826	S1 domain
14668at186826	Complete	tig00000001	2145205	2146530	+	555.9	381	https://v10-1.orthodb.org/?query=14668at186826	Cell division protein FtsA
15089at186826	Complete	tig00000001	2525488	2526801	+	345.9	306	https://v10-1.orthodb.org/?query=15089at186826	Helicase, C-terminal
15160at186826	Complete	tig00000001	1561929	1564037	+	640.8	440	https://v10-1.orthodb.org/?query=15160at186826	DNA mismatch repair protein MutL
15507at186826	Complete	tig00000001	1247094	1245724	-	641.6	365	https://v10-1.orthodb.org/?query=15507at186826	Ribosomal protein S5 domain 2-type fold
15569at186826	Complete	tig00000001	1512030	1513712	+	608.2	432	https://v10-1.orthodb.org/?query=15569at186826	DhaL domain
15656at186826	Complete	tig00000001	110679	111947	+	369.6	290	https://v10-1.orthodb.org/?query=15656at186826	Peptidase M50
15664at186826	Complete	tig00000001	233763	235097	+	524.5	361	https://v10-1.orthodb.org/?query=15664at186826	UDP-N-acetylmuramate--L-alanine ligase
15785at186826	Complete	tig00000001	2397123	2398352	+	370.2	278	https://v10-1.orthodb.org/?query=15785at186826	GTPase HflX
16261at186826	Complete	tig00000001	507048	506005	-	477.9	271	https://v10-1.orthodb.org/?query=16261at186826	Phenylalanine--tRNA ligase alpha subunit
16826at186826	Complete	tig00000001	1753963	1755219	+	532.1	339	https://v10-1.orthodb.org/?query=16826at186826	Tyrosine--tRNA ligase
17733at186826	Complete	tig00000001	699901	698792	-	605.3	309	https://v10-1.orthodb.org/?query=17733at186826	RNA polymerase sigma-70
17744at186826	Complete	tig00000001	2142726	2143814	+	345.8	284	https://v10-1.orthodb.org/?query=17744at186826	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
17801at186826	Complete	tig00000001	141356	142522	+	472.8	307	https://v10-1.orthodb.org/?query=17801at186826	Chaperone protein DnaJ
17907at186826	Complete	tig00000001	1203136	1201067	-	662.7	419	https://v10-1.orthodb.org/?query=17907at186826	Protein kinase domain
18334at186826	Complete	tig00000001	2146553	2147794	+	609.5	347	https://v10-1.orthodb.org/?query=18334at186826	Cell division protein FtsZ
18422at186826	Complete	tig00000001	1491672	1492967	+	556.4	354	https://v10-1.orthodb.org/?query=18422at186826	Protein translocase subunit SecY
18725at186826	Complete	tig00000001	2531196	2532179	+	497.9	295	https://v10-1.orthodb.org/?query=18725at186826	Peptide chain release factor 2
18729at186826	Complete	tig00000001	539779	538733	-	220.7	228	https://v10-1.orthodb.org/?query=18729at186826	DNA polymerase III delta, N-terminal
18734at186826	Complete	tig00000001	2553342	2552236	-	417.4	300	https://v10-1.orthodb.org/?query=18734at186826	Creatinase, N-terminal
18816at186826	Complete	tig00000001	1604600	1606012	+	443.7	335	https://v10-1.orthodb.org/?query=18816at186826	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
18958at186826	Complete	tig00000001	106415	107296	+	340.9	242	https://v10-1.orthodb.org/?query=18958at186826	Elongation factor Ts
19016at186826	Complete	tig00000001	84381	85343	+	356.1	256	https://v10-1.orthodb.org/?query=19016at186826	Glucokinase
19171at186826	Complete	tig00000001	2141339	2142700	+	436.9	341	https://v10-1.orthodb.org/?query=19171at186826	Mur ligase, C-terminal
19594at186826	Complete	tig00000001	93965	94981	+	482.5	274	https://v10-1.orthodb.org/?query=19594at186826	tRNA N6-adenosine threonylcarbamoyltransferase
19632at186826	Complete	tig00000001	1495114	1496052	+	430.8	267	https://v10-1.orthodb.org/?query=19632at186826	DNA-directed RNA polymerase subunit alpha
19695at186826	Complete	tig00000001	486170	484857	-	558.9	341	https://v10-1.orthodb.org/?query=19695at186826	GTPase Obg
19941at186826	Complete	tig00000001	716650	715388	-	272.2	258	https://v10-1.orthodb.org/?query=19941at186826	Hydroxymethylglutaryl-CoA reductase, class I/II
20287at186826	Complete	tig00000001	1568936	1569937	+	518.5	284	https://v10-1.orthodb.org/?query=20287at186826	Holliday junction ATP-dependent DNA helicase RuvB
20295at186826	Complete	tig00000001	1408323	1406839	-	694.0	419	https://v10-1.orthodb.org/?query=20295at186826	IMP dehydrogenase
20525at186826	Complete	tig00000001	419709	421415	+	700.7	470	https://v10-1.orthodb.org/?query=20525at186826	NFACT, RNA-binding domain
21114at186826	Complete	tig00000001	2128877	2130214	+	491.9	322	https://v10-1.orthodb.org/?query=21114at186826	Exonuclease VII, large subunit
21175at186826	Complete	tig00000001	1229945	1228896	-	508.4	273	https://v10-1.orthodb.org/?query=21175at186826	Protein RecA
21520at186826	Complete	tig00000001	1410713	1409613	-	573.0	325	https://v10-1.orthodb.org/?query=21520at186826	Ribosome-binding ATPase YchF
21989at186826	Complete	tig00000001	154062	155060	+	440.9	281	https://v10-1.orthodb.org/?query=21989at186826	Gluconeogenesis factor
22410at186826	Duplicated	tig00000001	2549029	2550054	+	438.1	282	https://v10-1.orthodb.org/?query=22410at186826	glycerol-3-phosphate dehydrogenase
22410at186826	Duplicated	tig00000001	2324799	2325818	+	432.2	278	https://v10-1.orthodb.org/?query=22410at186826	glycerol-3-phosphate dehydrogenase
22789at186826	Complete	tig00000001	665698	664751	-	325.5	246	https://v10-1.orthodb.org/?query=22789at186826	Thymidylate synthase
22841at186826	Complete	tig00000001	242020	243393	+	164.2	249	https://v10-1.orthodb.org/?query=22841at186826	DnaD domain
23002at186826	Complete	tig00000001	118935	120110	+	482.7	307	https://v10-1.orthodb.org/?query=23002at186826	Transcription termination/antitermination protein NusA
23119at186826	Complete	tig00000001	1010552	1009755	-	264.7	182	https://v10-1.orthodb.org/?query=23119at186826	NAD kinase
23324at186826	Complete	tig00000001	448536	447187	-	576.8	370	https://v10-1.orthodb.org/?query=23324at186826	DEAD/DEAH box helicase
23387at186826	Complete	tig00000001	2268527	2269600	+	533.0	309	https://v10-1.orthodb.org/?query=23387at186826	Peptide chain release factor 1
23412at186826	Complete	tig00000001	637211	636285	-	337.1	245	https://v10-1.orthodb.org/?query=23412at186826	manganese-dependent inorganic pyrophosphatase
23472at186826	Complete	tig00000001	176639	177928	+	497.8	347	https://v10-1.orthodb.org/?query=23472at186826	Trigger factor
23508at186826	Complete	tig00000001	1206182	1205244	-	339.1	232	https://v10-1.orthodb.org/?query=23508at186826	Methionyl-tRNA formyltransferase
24125at186826	Complete	tig00000001	2092957	2093829	+	288.4	210	https://v10-1.orthodb.org/?query=24125at186826	Tetrapyrrole methylase
24258at186826	Complete	tig00000001	2589207	2590124	+	550.3	264	https://v10-1.orthodb.org/?query=24258at186826	Glycine--tRNA ligase alpha subunit
24710at186826	Complete	tig00000001	2496943	2497698	+	318.3	217	https://v10-1.orthodb.org/?query=24710at186826	Triosephosphate isomerase
24744at186826	Complete	tig00000001	1648981	1648004	-	301.2	236	https://v10-1.orthodb.org/?query=24744at186826	Diphosphomevalonate decarboxylase
25336at186826	Complete	tig00000001	1065251	1064307	-	403.4	268	https://v10-1.orthodb.org/?query=25336at186826	HD/PDEase domain
25536at186826	Complete	tig00000001	127860	128801	+	254.8	227	https://v10-1.orthodb.org/?query=25536at186826	Riboflavin kinase
25560at186826	Fragmented	tig00000001	838195	837452	-	209.0	171	https://v10-1.orthodb.org/?query=25560at186826	Glycosyl transferase, family 1
25680at186826	Complete	tig00000001	153181	154065	+	345.4	225	https://v10-1.orthodb.org/?query=25680at186826	RapZ-like family
26129at186826	Complete	tig00000001	1177554	1176667	-	312.9	237	https://v10-1.orthodb.org/?query=26129at186826	Heat shock protein Hsp33
26330at186826	Complete	tig00000001	2307318	2308202	+	281.7	215	https://v10-1.orthodb.org/?query=26330at186826	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase
26720at186826	Complete	tig00000001	502400	503410	+	441.2	293	https://v10-1.orthodb.org/?query=26720at186826	Tryptophan--tRNA ligase
26778at186826	Complete	tig00000001	239381	240217	+	260.6	216	https://v10-1.orthodb.org/?query=26778at186826	Formamidopyrimidine-DNA glycosylase
27176at186826	Complete	tig00000001	2514939	2515841	+	393.0	262	https://v10-1.orthodb.org/?query=27176at186826	ATP synthase, F1 complex, gamma subunit
27901at186826	Complete	tig00000001	1669695	1668412	-	311.5	251	https://v10-1.orthodb.org/?query=27901at186826	serine protease
28719at186826	Complete	tig00000001	824214	823105	-	485.0	311	https://v10-1.orthodb.org/?query=28719at186826	Ribosome biogenesis GTPase YqeH
28766at186826	Complete	tig00000001	2128022	2128876	+	329.2	247	https://v10-1.orthodb.org/?query=28766at186826	Tetrahydrofolate dehydrogenase/cyclohydrolase
28913at186826	Complete	tig00000001	957588	956779	-	387.6	237	https://v10-1.orthodb.org/?query=28913at186826	Metallo-beta-lactamase
29145at186826	Complete	tig00000001	1205244	1203886	-	402.7	347	https://v10-1.orthodb.org/?query=29145at186826	16S rRNA (cytosine(967)-C(5))-methyltransferase
29219at186826	Complete	tig00000001	1926915	1928102	+	326.3	256	https://v10-1.orthodb.org/?query=29219at186826	Cell cycle, FtsW / RodA / SpoVE, conserved site
29586at186826	Complete	tig00000001	107432	108154	+	395.4	215	https://v10-1.orthodb.org/?query=29586at186826	Uridylate kinase
30045at186826	Complete	tig00000001	1484312	1485145	+	444.0	248	https://v10-1.orthodb.org/?query=30045at186826	Ribosomal protein L2
30072at186826	Complete	tig00000001	2030720	2031655	+	374.9	247	https://v10-1.orthodb.org/?query=30072at186826	UDP-N-acetylenolpyruvoylglucosamine reductase
30077at186826	Complete	tig00000001	1525174	1525860	+	264.7	184	https://v10-1.orthodb.org/?query=30077at186826	ribonuclease III
30214at186826	Complete	tig00000001	1052631	1051624	-	219.4	224	https://v10-1.orthodb.org/?query=30214at186826	DNA methylase, adenine-specific
30374at186826	Complete	tig00000001	2260521	2259823	-	300.1	193	https://v10-1.orthodb.org/?query=30374at186826	glutamine amidotransferase
30594at186826	Complete	tig00000001	2370553	2371290	+	194.6	161	https://v10-1.orthodb.org/?query=30594at186826	Acyl-ACP thioesterase
30725at186826	Complete	tig00000001	2586969	2587868	+	389.8	239	https://v10-1.orthodb.org/?query=30725at186826	GTPase Era
30737at186826	Complete	tig00000001	2688421	2689182	+	304.1	192	https://v10-1.orthodb.org/?query=30737at186826	tRNA (guanine-N1-)-methyltransferase, bacteria
30955at186826	Complete	tig00000001	126933	127856	+	291.8	193	https://v10-1.orthodb.org/?query=30955at186826	tRNA pseudouridine synthase B
31461at186826	Complete	tig00000001	2216656	2217480	+	381.0	234	https://v10-1.orthodb.org/?query=31461at186826	NH(3)-dependent NAD(+) synthetase
31469at186826	Complete	tig00000001	2553552	2554553	+	387.7	259	https://v10-1.orthodb.org/?query=31469at186826	Catabolite control protein A
32004at186826	Complete	tig00000001	2511215	2511934	+	190.6	166	https://v10-1.orthodb.org/?query=32004at186826	ATP synthase subunit a
32246at186826	Complete	tig00000001	2024882	2025862	+	400.6	256	https://v10-1.orthodb.org/?query=32246at186826	Phosphate acetyltransferase
32251at186826	Complete	tig00000001	2547202	2548140	+	329.9	219	https://v10-1.orthodb.org/?query=32251at186826	HPr kinase/phosphorylase
32666at186826	Complete	tig00000001	2575141	2576067	+	379.6	250	https://v10-1.orthodb.org/?query=32666at186826	Pyridine nucleotide-disulphide oxidoreductase, class-II
32883at186826	Complete	tig00000001	2132736	2134418	+	476.3	424	https://v10-1.orthodb.org/?query=32883at186826	DNA repair protein RecN
32906at186826	Complete	tig00000001	2149452	2150234	+	163.7	162	https://v10-1.orthodb.org/?query=32906at186826	RNA-binding S4 domain
33165at186826	Complete	tig00000001	657759	656899	-	289.1	195	https://v10-1.orthodb.org/?query=33165at186826	Ribosome biogenesis GTPase A
33274at186826	Complete	tig00000001	1056496	1055567	-	200.7	174	https://v10-1.orthodb.org/?query=33274at186826	Type II/IV secretion system protein
33486at186826	Complete	tig00000001	2582895	2583866	+	409.6	232	https://v10-1.orthodb.org/?query=33486at186826	PhoH-like protein
33509at186826	Complete	tig00000001	1646909	1645845	-	251.5	235	https://v10-1.orthodb.org/?query=33509at186826	Isopentenyl-diphosphate delta-isomerase
33681at186826	Complete	tig00000001	108909	109721	+	326.8	203	https://v10-1.orthodb.org/?query=33681at186826	Decaprenyl diphosphate synthase-like
33737at186826	Complete	tig00000001	1421953	1423083	+	332.3	286	https://v10-1.orthodb.org/?query=33737at186826	Beta sliding clamp
33924at186826	Complete	tig00000001	425540	424824	-	197.1	162	https://v10-1.orthodb.org/?query=33924at186826	Orotidine 5'-phosphate decarboxylase
34024at186826	Complete	tig00000001	1899028	1899720	+	211.9	175	https://v10-1.orthodb.org/?query=34024at186826	Nucleoside phosphorylase domain
34340at186826	Complete	tig00000001	2396204	2397121	+	296.7	216	https://v10-1.orthodb.org/?query=34340at186826	tRNA dimethylallyltransferase
34962at186826	Complete	tig00000001	105534	106316	+	448.4	222	https://v10-1.orthodb.org/?query=34962at186826	Ribosomal protein S2
34964at186826	Complete	tig00000001	2269593	2270432	+	180.5	164	https://v10-1.orthodb.org/?query=34964at186826	Release factor glutamine methyltransferase
35297at186826	Complete	tig00000001	1181971	1180517	-	157.9	160	https://v10-1.orthodb.org/?query=35297at186826	tRNA(Ile)-lysidine synthase
35563at186826	Complete	tig00000001	483872	482931	-	363.5	251	https://v10-1.orthodb.org/?query=35563at186826	Ribonuclease Z
35781at186826	Complete	tig00000001	1240251	1239391	-	322.0	195	https://v10-1.orthodb.org/?query=35781at186826	RNA methyltransferase TrmH family
35990at186826	Complete	tig00000001	2136779	2137738	+	406.5	263	https://v10-1.orthodb.org/?query=35990at186826	S-adenosyl-L-methionine-dependent methyltransferase
36017at186826	Complete	tig00000001	1485850	1486506	+	340.1	190	https://v10-1.orthodb.org/?query=36017at186826	K Homology domain
37013at186826	Complete	tig00000001	718015	719169	+	397.5	295	https://v10-1.orthodb.org/?query=37013at186826	Hydroxymethylglutaryl-CoA synthase
37047at186826	Complete	tig00000001	1483360	1483983	+	257.0	164	https://v10-1.orthodb.org/?query=37047at186826	50S ribosomal protein L4
37216at186826	Complete	tig00000001	837435	836212	-	443.3	323	https://v10-1.orthodb.org/?query=37216at186826	Glycosyl transferase, family 1
37399at186826	Complete	tig00000001	2355487	2354489	-	297.5	249	https://v10-1.orthodb.org/?query=37399at186826	Ferredoxin--NADP reductase
37741at186826	Complete	tig00000001	2024049	2024729	+	258.1	156	https://v10-1.orthodb.org/?query=37741at186826	Uracil-DNA glycosylase
37787at186826	Complete	tig00000001	852313	851603	-	121.4	156	https://v10-1.orthodb.org/?query=37787at186826	Regulatory protein RecX
