# Program:featureCounts v2.1.1; Command:"featureCounts" "-F" "GFF" "-t" "CDS" "-g" "ID" "-a" "e745_annot.gff" "-o" "tnseq_master_counts.txt" "alignments/trim_ERR1801006_pass.bam" "alignments/trim_ERR1801007_pass.bam" "alignments/trim_ERR1801008_pass.bam" "alignments/trim_ERR1801009_pass.bam" "alignments/trim_ERR1801010_pass.bam" "alignments/trim_ERR1801011_pass.bam" "alignments/trim_ERR1801012_pass.bam" "alignments/trim_ERR1801013_pass.bam" "alignments/trim_ERR1801014_pass.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/trim_ERR1801006_pass.bam	alignments/trim_ERR1801007_pass.bam	alignments/trim_ERR1801008_pass.bam	alignments/trim_ERR1801009_pass.bam	alignments/trim_ERR1801010_pass.bam	alignments/trim_ERR1801011_pass.bam	alignments/trim_ERR1801012_pass.bam	alignments/trim_ERR1801013_pass.bam	alignments/trim_ERR1801014_pass.bam
IBPFAHIO_00073	tig00000001	54035	54361	+	327	3	58	0	152	0	60	2	87	85
IBPFAHIO_00074	tig00000001	54351	54689	+	339	0	0	0	0	0	0	0	0	0
IBPFAHIO_00075	tig00000001	54679	55044	+	366	0	0	0	0	0	0	0	0	0
IBPFAHIO_00076	tig00000001	55051	55677	+	627	44	7	0	0	0	2	0	4	0
IBPFAHIO_00077	tig00000001	55677	56141	+	465	0	0	0	0	0	0	0	0	0
IBPFAHIO_00078	tig00000001	56336	58645	+	2310	171	114	0	134	24	115	35	239	90
IBPFAHIO_00079	tig00000001	58642	59361	+	720	0	0	0	0	0	0	0	0	0
IBPFAHIO_00080	tig00000001	59358	62063	+	2706	78	114	0	10	0	77	51	18	76
IBPFAHIO_00081	tig00000001	62077	63795	+	1719	0	0	0	0	0	0	0	0	0
IBPFAHIO_00082	tig00000001	63812	64594	+	783	2	0	0	0	0	0	0	0	0
IBPFAHIO_00083	tig00000001	64594	66660	+	2067	84	12	67	119	56	198	28	10	63
IBPFAHIO_00084	tig00000001	66661	67107	+	447	0	0	0	0	0	0	0	0	0
IBPFAHIO_00085	tig00000001	67109	67246	+	138	0	0	0	0	0	0	0	0	0
IBPFAHIO_00086	tig00000001	67283	67576	+	294	0	0	0	0	0	0	0	0	0
IBPFAHIO_00087	tig00000001	67599	67796	+	198	0	0	0	0	0	0	0	0	0
IBPFAHIO_00088	tig00000001	67807	68826	+	1020	60	92	74	224	0	196	50	153	110
IBPFAHIO_00089	tig00000001	68866	69672	-	807	62	27	9	25	0	12	0	8	0
IBPFAHIO_00090	tig00000001	69669	70205	-	537	0	4	0	8	0	9	0	1	0
IBPFAHIO_00091	tig00000001	71040	71621	+	582	0	1	0	0	5	61	0	0	0
IBPFAHIO_00092	tig00000001	71719	72897	+	1179	163	51	152	78	68	112	45	77	20
IBPFAHIO_00093	tig00000001	73010	73360	+	351	0	0	0	0	0	0	0	0	0
IBPFAHIO_00094	tig00000001	73525	74970	+	1446	0	9	13	0	1	47	1	21	0
IBPFAHIO_00095	tig00000001	75245	77140	+	1896	0	0	0	0	0	0	0	0	0
IBPFAHIO_00096	tig00000001	77335	77781	-	447	0	0	0	0	0	0	0	0	0
IBPFAHIO_00097	tig00000001	78009	78158	+	150	0	0	0	0	0	0	0	0	0
IBPFAHIO_00098	tig00000001	78246	78764	+	519	0	1	0	0	0	4	0	0	0
IBPFAHIO_00099	tig00000001	78841	79797	-	957	0	0	35	0	0	0	0	0	0
IBPFAHIO_00100	tig00000001	79963	80769	+	807	1	0	0	0	0	0	4	11	2
IBPFAHIO_00101	tig00000001	80766	81755	+	990	1178	311	1393	1107	366	872	647	598	381
IBPFAHIO_00102	tig00000001	81752	82756	+	1005	0	0	0	0	0	0	0	0	0
IBPFAHIO_00103	tig00000001	82888	83430	+	543	42	0	0	0	0	0	0	0	0
IBPFAHIO_00104	tig00000001	83450	84148	+	699	0	0	0	0	0	4	0	0	0
IBPFAHIO_00105	tig00000001	84169	84381	+	213	0	0	0	0	0	0	0	0	0
IBPFAHIO_00106	tig00000001	84381	85343	+	963	0	0	0	0	0	0	0	0	0
IBPFAHIO_00107	tig00000001	85361	85756	+	396	0	0	0	0	0	0	0	0	0
IBPFAHIO_00108	tig00000001	85919	86284	+	366	0	0	0	0	0	0	0	0	0
IBPFAHIO_00109	tig00000001	86281	88092	+	1812	0	0	0	0	0	0	0	0	0
IBPFAHIO_00110	tig00000001	88154	88321	-	168	0	0	0	0	0	0	0	0	0
IBPFAHIO_00111	tig00000001	88569	89558	+	990	0	0	0	0	0	0	0	0	0
IBPFAHIO_00112	tig00000001	89570	91054	+	1485	0	0	0	0	0	0	0	0	0
IBPFAHIO_00113	tig00000001	91078	92058	+	981	0	0	0	0	0	0	0	0	0
IBPFAHIO_00114	tig00000001	92147	92971	+	825	0	0	0	0	0	0	0	0	0
IBPFAHIO_00115	tig00000001	92955	93497	+	543	0	0	0	0	0	0	0	0	0
IBPFAHIO_00116	tig00000001	93504	93968	+	465	80	0	0	199	0	100	105	0	0
IBPFAHIO_00117	tig00000001	93965	94981	+	1017	0	0	0	0	0	5	0	0	122
IBPFAHIO_00118	tig00000001	95590	96291	-	702	0	30	0	72	0	66	0	46	0
IBPFAHIO_00119	tig00000001	96752	97981	+	1230	0	0	0	0	0	0	0	0	0
IBPFAHIO_00120	tig00000001	98072	99091	+	1020	0	0	0	0	0	23	0	0	0
IBPFAHIO_00121	tig00000001	99206	100153	+	948	0	0	0	0	0	0	0	0	0
IBPFAHIO_00122	tig00000001	100573	102264	+	1692	0	0	0	0	0	0	0	0	0
IBPFAHIO_00123	tig00000001	102718	103263	-	546	40	42	163	65	0	82	0	38	0
IBPFAHIO_00124	tig00000001	103267	103395	-	129	0	30	0	17	1	26	1	3	0
IBPFAHIO_00125	tig00000001	103388	104479	-	1092	0	34	0	0	15	0	0	0	0
IBPFAHIO_00126	tig00000001	104696	105175	-	480	0	9	25	0	0	25	0	6	0
IBPFAHIO_00127	tig00000001	105534	106316	+	783	0	0	0	0	0	0	0	0	0
IBPFAHIO_00128	tig00000001	106415	107296	+	882	0	0	0	0	0	0	0	0	0
IBPFAHIO_00129	tig00000001	107432	108154	+	723	0	0	0	0	0	0	0	0	0
IBPFAHIO_00130	tig00000001	108157	108714	+	558	0	10	0	0	0	0	0	0	0
IBPFAHIO_00131	tig00000001	108909	109721	+	813	0	0	0	0	0	0	0	0	0
IBPFAHIO_00132	tig00000001	109718	110518	+	801	0	0	0	0	0	0	0	0	0
IBPFAHIO_00133	tig00000001	110679	111947	+	1269	0	0	0	0	0	0	0	0	0
IBPFAHIO_00134	tig00000001	112015	113724	+	1710	0	0	0	0	0	1	0	0	0
IBPFAHIO_00135	tig00000001	113936	118294	+	4359	0	0	0	0	0	0	0	20	0
IBPFAHIO_00136	tig00000001	118439	118912	+	474	0	0	0	0	0	0	0	0	0
IBPFAHIO_00137	tig00000001	118935	120110	+	1176	0	0	0	0	0	0	0	0	0
IBPFAHIO_00138	tig00000001	120132	120425	+	294	0	0	0	0	0	0	0	0	0
IBPFAHIO_00139	tig00000001	120422	120733	+	312	0	0	0	0	0	0	0	0	0
IBPFAHIO_00140	tig00000001	120746	123052	+	2307	0	0	0	0	0	0	0	0	0
IBPFAHIO_00141	tig00000001	123079	123426	+	348	0	0	0	0	0	0	0	0	0
IBPFAHIO_00142	tig00000001	124204	124671	+	468	0	0	5	0	9	5	0	0	0
IBPFAHIO_00143	tig00000001	124698	125687	+	990	0	0	0	0	0	0	0	0	0
IBPFAHIO_00144	tig00000001	125681	126565	+	885	0	0	0	0	0	0	0	0	0
IBPFAHIO_00145	tig00000001	126933	127856	+	924	0	0	0	0	0	0	0	0	0
IBPFAHIO_00146	tig00000001	127860	128801	+	942	76	68	0	91	3	34	5	5	33
IBPFAHIO_00147	tig00000001	129153	129938	+	786	213	54	163	137	67	110	59	14	104
IBPFAHIO_00148	tig00000001	129951	130802	+	852	0	50	18	29	0	2	24	0	0
IBPFAHIO_00149	tig00000001	130926	131378	-	453	0	0	0	0	0	0	0	8	0
IBPFAHIO_00150	tig00000001	131843	132211	-	369	0	0	0	0	0	0	0	0	0
IBPFAHIO_00151	tig00000001	132361	132843	+	483	0	0	0	0	0	0	0	0	0
IBPFAHIO_00152	tig00000001	132880	133890	+	1011	0	0	0	0	0	0	144	0	48
IBPFAHIO_00153	tig00000001	134005	134718	-	714	0	0	0	0	0	0	0	0	0
IBPFAHIO_00154	tig00000001	134908	135498	-	591	0	0	0	0	0	0	0	0	0
IBPFAHIO_00155	tig00000001	135982	136209	+	228	0	0	0	0	0	0	0	0	0
IBPFAHIO_00156	tig00000001	136225	137391	+	1167	37	0	0	0	0	0	0	30	0
IBPFAHIO_00157	tig00000001	137625	138668	+	1044	12	32	2	13	0	1	22	68	1
IBPFAHIO_00158	tig00000001	138762	139325	+	564	0	0	0	0	0	0	0	0	0
IBPFAHIO_00159	tig00000001	139376	141205	+	1830	0	0	0	0	0	0	0	0	0
IBPFAHIO_00160	tig00000001	141356	142522	+	1167	0	0	0	0	0	1	0	0	0
IBPFAHIO_00161	tig00000001	142604	143233	-	630	0	0	0	0	0	0	0	0	0
IBPFAHIO_00162	tig00000001	143463	144200	-	738	0	10	32	0	0	11	0	0	0
IBPFAHIO_00163	tig00000001	144202	145704	-	1503	0	0	0	0	0	0	0	0	0
IBPFAHIO_00164	tig00000001	145963	147957	+	1995	0	4	0	57	0	24	180	66	134
IBPFAHIO_00165	tig00000001	147967	150783	+	2817	33	0	148	0	0	1	0	0	0
IBPFAHIO_00166	tig00000001	151046	152311	+	1266	0	0	0	0	0	0	0	0	0
IBPFAHIO_00167	tig00000001	152315	153046	+	732	0	0	0	0	0	0	0	0	0
IBPFAHIO_00168	tig00000001	153181	154065	+	885	0	0	0	0	0	0	0	0	0
IBPFAHIO_00169	tig00000001	154062	155060	+	999	0	0	0	0	0	0	0	0	0
IBPFAHIO_00170	tig00000001	155094	156029	+	936	0	0	0	0	0	0	0	0	0
IBPFAHIO_00171	tig00000001	156381	156581	+	201	0	0	0	0	0	0	0	0	0
IBPFAHIO_00172	tig00000001	156596	157222	+	627	1391	677	332	1260	796	4013	872	949	842
IBPFAHIO_00173	tig00000001	157573	157989	+	417	0	0	0	0	0	0	0	0	0
IBPFAHIO_00174	tig00000001	157986	158939	-	954	70	86	0	29	84	173	50	90	26
IBPFAHIO_00175	tig00000001	159512	159763	+	252	0	0	0	0	0	0	0	0	0
IBPFAHIO_00176	tig00000001	160672	160929	+	258	0	0	0	0	0	0	0	0	0
IBPFAHIO_00177	tig00000001	161066	161653	+	588	0	0	0	0	0	0	0	0	138
IBPFAHIO_00178	tig00000001	161832	162389	+	558	0	0	0	0	0	0	0	0	0
IBPFAHIO_00179	tig00000001	163088	163609	-	522	46	0	0	0	0	0	0	0	0
IBPFAHIO_00180	tig00000001	163808	167500	+	3693	23	26	0	114	0	17	86	105	79
IBPFAHIO_00181	tig00000001	167689	168576	+	888	0	0	0	0	0	0	0	0	0
IBPFAHIO_00182	tig00000001	168573	169742	+	1170	0	0	0	0	0	0	0	0	0
IBPFAHIO_00183	tig00000001	169766	171121	+	1356	0	0	0	0	0	0	0	0	0
IBPFAHIO_00184	tig00000001	171193	172998	-	1806	0	0	0	0	0	0	0	0	0
IBPFAHIO_00185	tig00000001	173407	173697	+	291	0	0	0	0	0	0	0	0	0
IBPFAHIO_00186	tig00000001	173710	174735	+	1026	0	26	0	0	0	0	0	0	0
IBPFAHIO_00187	tig00000001	174738	175397	+	660	0	0	27	65	0	76	0	66	0
IBPFAHIO_00188	tig00000001	175554	176471	+	918	0	27	0	0	0	0	0	0	0
IBPFAHIO_00189	tig00000001	176639	177928	+	1290	0	0	0	0	0	0	0	0	0
IBPFAHIO_00190	tig00000001	178175	179425	+	1251	0	0	0	0	0	0	0	0	0
IBPFAHIO_00191	tig00000001	179508	180095	+	588	0	0	0	1	0	4	0	0	0
IBPFAHIO_00192	tig00000001	180169	180324	-	156	0	0	0	0	0	0	0	0	0
IBPFAHIO_00193	tig00000001	180460	181788	+	1329	0	39	0	58	4	13	2	56	61
IBPFAHIO_00194	tig00000001	181799	182008	+	210	0	0	0	0	0	0	0	0	0
IBPFAHIO_00195	tig00000001	182168	182920	+	753	0	0	0	0	0	0	0	0	0
IBPFAHIO_00196	tig00000001	182917	183831	+	915	0	0	0	0	0	0	0	0	0
IBPFAHIO_00197	tig00000001	183849	185780	+	1932	197	32	74	14	0	35	131	0	0
IBPFAHIO_00198	tig00000001	185891	187450	-	1560	0	0	0	0	0	13	0	0	0
IBPFAHIO_00199	tig00000001	187605	189839	+	2235	0	0	0	0	0	0	0	0	0
IBPFAHIO_00200	tig00000001	189856	191892	+	2037	0	0	0	0	0	0	0	0	0
IBPFAHIO_00201	tig00000001	191998	192303	+	306	0	0	0	0	0	0	0	0	0
IBPFAHIO_00202	tig00000001	192303	193775	+	1473	0	2	0	0	0	0	0	0	0
IBPFAHIO_00203	tig00000001	193772	195202	+	1431	0	0	0	0	0	0	0	0	0
IBPFAHIO_00204	tig00000001	195212	196267	+	1056	0	0	0	0	0	0	0	0	0
IBPFAHIO_00205	tig00000001	196378	197751	+	1374	0	0	67	43	0	0	0	34	0
IBPFAHIO_00206	tig00000001	197754	197882	+	129	0	0	0	0	0	0	0	0	0
IBPFAHIO_00207	tig00000001	198588	199601	+	1014	0	0	0	0	0	0	0	0	0
IBPFAHIO_00208	tig00000001	199668	200702	-	1035	0	0	0	0	0	36	0	0	0
IBPFAHIO_00209	tig00000001	200817	203042	+	2226	33	51	8	82	46	238	85	298	151
IBPFAHIO_00210	tig00000001	203060	204943	+	1884	0	0	0	0	0	0	0	0	0
IBPFAHIO_00211	tig00000001	204924	205898	+	975	0	0	0	0	0	0	0	0	0
IBPFAHIO_00212	tig00000001	206557	207579	+	1023	0	1	0	0	0	5	0	0	8
IBPFAHIO_00213	tig00000001	207612	208676	+	1065	75	155	0	84	5	116	0	44	0
IBPFAHIO_00214	tig00000001	208678	209844	+	1167	32	84	9	54	9	133	16	103	71
IBPFAHIO_00215	tig00000001	209861	210952	+	1092	0	0	0	0	139	29	0	0	0
IBPFAHIO_00216	tig00000001	210965	212260	+	1296	192	3	51	109	4	178	0	42	76
IBPFAHIO_00217	tig00000001	212253	212762	+	510	0	7	0	80	0	8	6	47	55
IBPFAHIO_00218	tig00000001	212759	213595	+	837	0	0	79	0	0	136	82	53	72
IBPFAHIO_00219	tig00000001	213658	215394	-	1737	0	0	0	0	0	0	0	0	0
IBPFAHIO_00220	tig00000001	215446	216321	-	876	0	0	0	0	0	0	0	0	0
IBPFAHIO_00221	tig00000001	216321	216899	-	579	0	0	0	0	0	0	0	0	0
IBPFAHIO_00222	tig00000001	217172	218458	+	1287	0	0	0	0	0	0	0	0	0
IBPFAHIO_00223	tig00000001	218595	219464	+	870	0	0	0	103	0	0	0	1	58
IBPFAHIO_00224	tig00000001	219461	220330	+	870	0	0	0	0	0	0	0	0	0
IBPFAHIO_00225	tig00000001	220514	221185	+	672	113	118	10	228	46	342	1	154	240
IBPFAHIO_00226	tig00000001	221193	221966	+	774	54	33	4	54	178	167	0	53	105
IBPFAHIO_00227	tig00000001	221963	222361	+	399	0	0	0	0	0	0	0	0	0
IBPFAHIO_00228	tig00000001	222546	223217	+	672	0	0	0	0	0	0	0	0	0
IBPFAHIO_00229	tig00000001	223276	223716	+	441	0	0	0	0	0	0	0	0	0
IBPFAHIO_00230	tig00000001	223728	224396	+	669	0	0	0	0	0	0	0	0	0
IBPFAHIO_00231	tig00000001	224460	225083	+	624	0	0	0	0	0	0	0	0	0
IBPFAHIO_00232	tig00000001	225139	225525	+	387	0	0	0	0	0	0	0	0	0
IBPFAHIO_00233	tig00000001	225738	227129	+	1392	0	0	0	0	0	0	0	0	62
IBPFAHIO_00234	tig00000001	227740	228108	+	369	0	0	0	0	0	0	0	0	0
IBPFAHIO_00235	tig00000001	228053	228184	+	132	0	0	0	0	0	0	0	0	0
IBPFAHIO_00236	tig00000001	228288	229229	+	942	0	40	0	20	0	172	0	26	0
IBPFAHIO_00237	tig00000001	229298	230029	+	732	0	0	0	0	0	15	0	0	0
IBPFAHIO_00238	tig00000001	230173	232353	+	2181	0	0	0	64	90	129	2	94	65
IBPFAHIO_00239	tig00000001	232373	232855	+	483	0	0	0	0	0	0	0	0	0
IBPFAHIO_00240	tig00000001	232871	233632	+	762	0	0	0	32	26	19	0	0	68
IBPFAHIO_00241	tig00000001	233763	235097	+	1335	0	5	0	0	0	0	0	78	0
IBPFAHIO_00242	tig00000001	235404	235889	+	486	0	0	0	0	0	0	0	0	0
IBPFAHIO_00243	tig00000001	235882	236565	+	684	0	30	0	0	0	0	69	0	0
IBPFAHIO_00244	tig00000001	236691	239336	+	2646	0	0	0	0	0	0	0	0	0
IBPFAHIO_00245	tig00000001	239381	240217	+	837	0	0	0	0	0	0	0	0	0
IBPFAHIO_00246	tig00000001	240181	240810	+	630	0	0	0	0	0	0	0	0	0
IBPFAHIO_00247	tig00000001	240862	241194	+	333	0	0	0	0	0	0	0	0	0
IBPFAHIO_00248	tig00000001	241506	241997	+	492	0	0	0	0	0	0	0	0	0
IBPFAHIO_00249	tig00000001	242020	243393	+	1374	0	0	0	0	0	0	0	0	0
IBPFAHIO_00250	tig00000001	243393	243614	+	222	0	0	0	0	0	0	0	0	0
IBPFAHIO_00251	tig00000001	243611	244318	+	708	0	0	0	0	0	0	0	0	0
IBPFAHIO_00252	tig00000001	244447	244887	+	441	0	0	0	0	0	0	0	0	0
IBPFAHIO_00253	tig00000001	245078	246373	-	1296	0	0	0	0	0	7	0	0	0
IBPFAHIO_00254	tig00000001	246553	246756	+	204	0	0	0	0	0	0	0	0	0
IBPFAHIO_00255	tig00000001	246840	247253	+	414	0	0	0	0	0	0	0	0	0
IBPFAHIO_00256	tig00000001	247250	247522	+	273	0	22	0	0	0	97	0	0	0
IBPFAHIO_00257	tig00000001	247504	248370	+	867	0	51	0	16	0	70	0	64	0
IBPFAHIO_00258	tig00000001	248385	249617	+	1233	115	104	16	141	0	48	0	0	4
IBPFAHIO_00259	tig00000001	249749	250657	+	909	0	26	0	162	4	55	41	40	16
IBPFAHIO_00260	tig00000001	250692	250964	+	273	0	0	0	0	0	0	0	0	0
IBPFAHIO_00261	tig00000001	250975	252021	+	1047	0	0	0	0	0	0	0	0	0
IBPFAHIO_00262	tig00000001	252272	254881	+	2610	23	5	0	3	0	7	0	51	0
IBPFAHIO_00263	tig00000001	255032	255703	-	672	23	68	0	57	0	70	50	0	0
IBPFAHIO_00264	tig00000001	255696	256190	-	495	0	0	0	0	0	0	0	0	0
IBPFAHIO_00265	tig00000001	256210	257430	-	1221	0	0	0	0	0	0	0	1	0
IBPFAHIO_00266	tig00000001	257577	259412	+	1836	0	0	0	0	0	0	0	0	0
IBPFAHIO_00267	tig00000001	259506	260633	-	1128	0	0	0	0	0	0	0	0	0
IBPFAHIO_00268	tig00000001	260690	261643	+	954	23	15	73	38	13	103	0	9	102
IBPFAHIO_00269	tig00000001	261799	262977	-	1179	128	39	110	98	48	114	67	60	27
IBPFAHIO_00270	tig00000001	264028	264441	-	414	0	34	0	0	0	0	0	0	0
IBPFAHIO_00271	tig00000001	264897	265382	-	486	0	0	0	0	0	0	0	0	0
IBPFAHIO_00272	tig00000001	265521	265736	-	216	0	0	0	0	0	0	0	0	0
IBPFAHIO_00273	tig00000001	265960	266760	+	801	0	48	0	65	0	50	119	0	0
IBPFAHIO_00274	tig00000001	266779	268647	+	1869	0	0	0	0	0	2	0	11	7
IBPFAHIO_00275	tig00000001	268640	269131	+	492	0	0	0	0	0	0	53	0	0
IBPFAHIO_00276	tig00000001	269119	269673	+	555	33	33	12	46	0	140	22	26	25
IBPFAHIO_00277	tig00000001	269691	270686	+	996	325	120	0	44	146	293	173	181	233
IBPFAHIO_00278	tig00000001	270828	272078	-	1251	98	125	169	228	73	134	40	140	126
IBPFAHIO_00279	tig00000001	272487	272885	+	399	0	0	0	0	0	0	0	0	0
IBPFAHIO_00280	tig00000001	272854	273564	+	711	0	0	0	0	0	0	0	0	0
IBPFAHIO_00281	tig00000001	274158	275045	-	888	0	0	0	0	0	0	0	0	0
IBPFAHIO_00282	tig00000001	275230	276069	+	840	60	0	0	68	115	16	0	3	1
IBPFAHIO_00283	tig00000001	276265	277239	+	975	1468	925	506	1267	807	1088	1261	826	479
IBPFAHIO_00284	tig00000001	277537	277893	+	357	0	0	0	0	0	0	0	0	0
